# Hand-authored Critical Care tags (source of truth). Columns: note_id<TAB>systems<TAB>knowledge<TAB>front
# systems/knowledge are ';'-separated values (no cc:: prefix). Edit this file to retag.
1762487324825	cardiovascular	management	5 Lead ECG color placement
1762488540680	cardiovascular	management	12 Lead ECG, where to place V1-V6 electrodes?
1762488710171	cardiovascular	diagnostics	Is the ECG tracing upward or downward? Average current flow is towards positive lead
1762488756614	cardiovascular	diagnostics	Is the ECG tracing upward or downward? Average current flow is towards negative lead
1762492549939	cardiovascular	diagnostics	In 12 lead ECG, which leads are unipolar (Augmented)?
1762492661218	cardiovascular	diagnostics	AVR lead: Identify the positive and negative pole [img]
1762494062168	cardiovascular	diagnostics	Lead I : Identify positive and negative pole [img]
1762494119507	cardiovascular	diagnostics	Lead II : Identify positive and negative pole [img]
1762494185696	cardiovascular	diagnostics	Lead III : idenitfy positve and negative pole [img]
1762495196982	cardiovascular	management	Where to place limb leads and why? (12 lead ECG)
1762495299905	cardiovascular	diagnostics	What leads view the heart in the vertical plane ? Horizontal plane ?
1762527997453	cardiovascular	physiology	Range and what it represents: PR
1762534959779	cardiovascular	etiology	Causes of T-wave inversion ?
1762540712402	cardiovascular	diagnostics	On ECG, what characterises an atrial flutter
1762540945253	cardiovascular	diagnostics	How to differentiate Atrial fibrillation vs flutter ?
1762542161007	cardiovascular	manifestation	Atrial Flutter : symptoms
1762551646710	cardiovascular	diagnostics	What does a less than 100 ms QRS mean?
1762704595667	cardiovascular	physiology	QRS interval range and what it represents
1762704655339	cardiovascular	diagnostics	2 ways to calculate rate in ECG
1762704721971	cardiovascular	diagnostics	How many big boxes in 6 second interval (ECG)
1762707741649	cardiovascular	diagnostics	Important leads for P-wave
1762708402527	cardiovascular	pathophysiology	Physiologically what causes a junctional rhythm ?
1762708556539	cardiovascular	diagnostics	Important wave morphology in Junctional Dysrhythmia ?
1762710468501	cardiovascular	pathophysiology	What is a premature junctional beat
1762710765737	cardiovascular	diagnostics	Characteristics of Junctional escape beat
1762711309500	cardiovascular	pathophysiology	Physiology of Junctional Rhythm
1762796142901	cardiovascular	diagnostics	Identifying junctional rhythm
1762796221083	cardiovascular	diagnostics	How to classify junctional rhythms ?
1762797719955	cardiovascular	diagnostics	How to distinguish ventricular dysrhythmia from SVT ?
1762797964942	cardiovascular	pathophysiology	Mechanism of 1st degree of AV block
1762799202178	cardiovascular	pathophysiology	What is a NSVT ?
1762949767254	cardiovascular	diagnostics	On an ECG what charecterizes a 1st degree AV block ?
1762949946699	cardiovascular	pathophysiology	Physiologically what occurs in a 1st degree AV block ?
1763044834099	cardiovascular	physiology	P-R interval normal range?
1763044855916	cardiovascular	physiology	QTc normal range?
1763045240573	cardiovascular	diagnostics	Rapid recognition: Polymorphic ventricular tachycardia
1763045339379	cardiovascular	pathophysiology	Physiology of 2nd degree heart block Type II ?
1763045402897	cardiovascular	diagnostics	Rapid ECG recognition: 2nd degree AV block type I
1763045534207	cardiovascular	diagnostics	Difference between 2nd degree AV block type I vs type II (on ECG)
1763093318687	cardiovascular	diagnostics	How to calculate QTc ?
1763093424096	cardiovascular	physiology	What is QTc ?
1763106996999	cardiovascular	pathophysiology	CORONARY ARTERY DISEASE (CAD)
1763107052269	cardiovascular	pathophysiology	what is acute coronary syndrome (ACS)?
1763107500704	cardiovascular	pathophysiology	STEMI vs NSTEMI physiological difference
1763107633764	cardiovascular	diagnostics	Diagnosis for chest pain without exertion, without st elevation and biomarkers
1763107780963	cardiovascular	pathophysiology	What are the 3 types of angina ?
1763107871405	cardiovascular	pathophysiology	What are the two types of variant angina (Prinzmetal angina)?
1763107959998	cardiovascular	diagnostics	What does ST depression and T wave inversion represent?
1763107987942	cardiovascular	diagnostics	What does ST elevation and T-wave inversion represent?
1763108003178	cardiovascular	diagnostics	What does Q wave represent?
1763108227775	cardiovascular	management	Managment goals for myocardial infarction (MI)
1763108254350	cardiovascular	management	Time goal in MI for Fibrinolysis (TNK)?
1763108272609	cardiovascular	management	Time goal for PCI in MI ?
1763110160076	cardiovascular	diagnostics	Which ECG leads tell you if there is a infarct in the Left anterior descending artery (LAD
1763110238498	cardiovascular	diagnostics	Which leads tell you if there is an infacrt in the Right cornary artery (RCA) ?
1763110318909	cardiovascular	diagnostics	Which ECG leads tell you if there is an infarct in the circumflex artery ?
1763110404568	cardiovascular	diagnostics	d2c741fc892e406a993e888906a16852-ao-1
1763115951487	cardiovascular	management	Indications for arterial line
1763116095920	cardiovascular	management	Two steps to ensure accurate arterial blood pressure
1763117536742	cardiovascular	management	What pressure should the fluid bag be in an arterial line ?
1763117764397	cardiovascular	management	3 common sites for arterial line
1763117994329	cardiovascular	management	How to zero arterial line ?
1763118029295	cardiovascular	diagnostics	b2c5a3ae63894f958b9d689cfc7c2490-ao-1
1763118564046	cardiovascular	diagnostics	Square wave test for arterial line: Adequately damped
1763118624662	cardiovascular	diagnostics	Square wave test for arterial line: Over damped
1763118681207	cardiovascular	diagnostics	Square wave test for arterial line: Under damped
1763118797033	cardiovascular	diagnostics	a0b16eb15173410eb79146e975c18947-ao-1
1763118797036	cardiovascular	diagnostics	a0b16eb15173410eb79146e975c18947-ao-2
1763119109429	cardiovascular	physiology	Normal pulse pressure
1763119215986	cardiovascular	physiology	What does pulse pressure indicate?
1763119264113	cardiovascular	physiology	What does MAP indicate?
1763121570052	cardiovascular	management	Central venous cather (CVC) placement
1763121630769	cardiovascular	diagnostics	Purpose of measuring central venous pressure (CVP)
1763121648338	cardiovascular	physiology	What is normal central venous pressure
1763122426941	cardiovascular	diagnostics	61c6596612c841819283c0316691156a-ao-1
1763122426944	cardiovascular	diagnostics	61c6596612c841819283c0316691156a-ao-2
1763122426945	cardiovascular	diagnostics	61c6596612c841819283c0316691156a-ao-3
1763122426946	cardiovascular	diagnostics	61c6596612c841819283c0316691156a-ao-4
1763122426947	cardiovascular	diagnostics	61c6596612c841819283c0316691156a-ao-5
1763122780583	cardiovascular	diagnostics	ABP vs CVP : in what phase of the cardiac rhythm will they peak ?
1763123545741	cardiovascular	physiology	Normal cardiac output (CO) ? (L/min)
1763123635740	cardiovascular	physiology	Normal stroke volume
1763123733762	cardiovascular	physiology	What affects preload ?
1763123806192	cardiovascular	physiology	What is positive and negative inotropy?
1763123865654	cardiovascular	physiology	What is ejection fraction ?
1763123879109	cardiovascular	physiology	What is normal ejection fraction ? E
1763123989276	cardiovascular	management	Amiodarone administeration
1763125057433	cardiovascular	physiology	Adenosine MOA
1763125073452	cardiovascular	management	Adenosine administration
1763125190362	cardiovascular	physiology	Amiodarone MOA
1763125253303	cardiovascular	physiology	Diltazem MOA
1763125287504	cardiovascular	physiology	Atropine MOA
1763126470947	cardiovascular	diagnostics	ECG changes in pericarditis
1763126507422	cardiovascular	management	Treatment for pericarditis
1763126556401	cardiovascular	pathophysiology	What is endocarditis ?
1763126644491	cardiovascular	diagnostics	Endocarditis diagnosis
1763126717861	cardiovascular	complications	Concerns for endocarditis ?
1763126771117	cardiovascular	management	Managment of endocarditis ?
1763126846007	cardiovascular	pathophysiology	What is Acute heart failure ?
1763127731948	cardiovascular	management	Foundational pharmacological therapy for acute heart failure ?
1763127950412	cardiovascular	diagnostics	Hypertensive crisis
1763127980166	cardiovascular	etiology	Causes of hypertensive crisis
1763128067675	cardiovascular	physiology	Hydralazine MOA
1763128221546	cardiovascular	manifestation	Signs of unstable patient
1763128362977	respiratory	management	Managment of respiratory arrest
1763128476010	respiratory	management	Respiratory arrest : once airway established follow up orders
1763128639564	cardiovascular	physiology	What is the critical time period in a cardiac arrest ?
1763128737771	cardiovascular	management	Quality compression rate and depth
1763128822687	cardiovascular	management	What are the different tasks to do during a cardiac arrest ? (6)
1763129073941	cardiovascular	management	Three types of electrical therapy ?
1763129154543	cardiovascular	management	Indication for defibrillation
1763129237957	cardiovascular	management	Indication for synchronized cardioversion ?
1763129314492	cardiovascular	management	Indications for transcutaneous pacing ?
1763129406734	cardiovascular	physiology	Epinephrine MOA
1763129456655	cardiovascular	management	Indication for Epinephrine
1763129503515	cardiovascular	management	Indication for amiodarone
1763129553417	cardiovascular	management	Post-resuscitation care
1763129605427	cardiovascular	management	Indication for targeted temperature managment
1763129681648	cardiovascular	management	Torsades de Pointes algorythm
1764677441425	cardiovascular	diagnostics	How to differentiate STEMI from pericarditis in ECG?
1764678891822	cardiovascular;fluid-electrolyte	diagnostics	Hypokalemia ECG changes
1764679075312	cardiovascular;fluid-electrolyte	diagnostics	Hyperkalemia ECG changes
1764679254295	cardiovascular;fluid-electrolyte	diagnostics	Hypocalcemia ECG changes
1764703574736	cardiovascular	pathophysiology	How does stenosis affect valves ?
1764703806304	cardiovascular	pathophysiology	regurgitation valve disease , what is the valve behavior?
1765746115772	cardiovascular	manifestation	signs of low CO
1765769129313	cardiovascular	physiology	3 big factors affecting preload
1765772635935	cardiovascular	physiology	PA catheter : Right atrial values
1765772754286	cardiovascular	physiology	PA catheter : Right ventricular values
1765772839234	cardiovascular	physiology	PA catheter : Pulmonic artery values
1765774938512	cardiovascular	physiology	Normal PAWP range
1765775071515	cardiovascular	diagnostics	What is PAWP an indirect measure of?
1765775542645	cardiovascular	physiology	Define preload
1765775734203	cardiovascular	physiology	Define afterload
1765775923934	cardiovascular	physiology	Afterload formula
1765776758099	cardiovascular	physiology	Ejection fraction formula
1765777216207	cardiovascular	physiology	What is Cardiac Index
1765970636192	cardiovascular;fluid-electrolyte	physiology	What is the physiological effect of Mg ?
1765971238771	cardiovascular;fluid-electrolyte	diagnostics	Hypocalcemia vs hypomagnesemia ECG changes
1769620972419	cardiovascular	diagnostics	What remains accurate in an over or under dampened ART line?
1770427447707	cardiovascular	diagnostics	V-tach quick ecg recognition
1772892501171	cardiovascular	pathophysiology	What is electrical storm ?
1773319180917	cardiovascular	pathophysiology	SVT electrical pathway
1765779965496	cardiovascular	physiology	max capture setting
1765780051044	cardiovascular	management	Pacemaker: What to adjust if failure to capture ?
1765780204085	cardiovascular	management	Pacemaker: What to adjust if failure to sense ?
1765780319759	cardiovascular	management	Pacemaker: what to adjust if failure to pace ?
1765780652751	cardiovascular	physiology	What is the benifit of pacing both the atria and ventricles
1771311648225	cardiovascular	diagnostics	PA cath depth markers [img]
1771311975151	cardiovascular	physiology	PA or IJ location in heart of proximal and distal port
1771346470641	cardiovascular	physiology	a93ad29bca254544b63e59179f6cc248-ao-1
1771346628405	cardiovascular	diagnostics	PA cath: What does this thermodilution curve indicate: [img]
1771346694417	cardiovascular	diagnostics	PA cath: what is the relationship between the area under the curve and the cardiac output 
1771346790057	cardiovascular	diagnostics	What does the PAWP measure ? (indirectly)
1771346831835	cardiovascular	physiology	What is normal cardiac index ?
1771346910743	cardiovascular	physiology	PA cath: What is normal SVR
